estimate	statistic	p.value
9.719259698268636e-4	3.021018872254015	0.0025199397810157214
-0.0017014318153025629	-4.428525424986068	9.498733527867236e-6
2.2955480677620469e-4	3.002818310524432	0.0026756254391941924
-5.877509869531316e-4	-0.6868030849375002	0.492208635415469
-2.37487345516181e-5	-0.1882801407734176	0.8506574546169147
8.014466389502393e-4	2.4736642642439275	0.013375548012680621
-0.0012768516388293207	-3.264200995056449	0.0010981837712348258
1.772586860910702e-4	2.3190570548815512	0.0203943813487327
-4.1288953509784895e-4	-0.467774610349708	0.639947098749424
-1.0129884954864234e-4	-0.7858333534404518	0.43196735915223994
7.890801492882785e-4	2.3177071021187925	0.020467852416420285
-0.0011583543168184399	-2.8138622042660106	0.0048962612316896265
1.654502466154624e-4	2.072915047549156	0.03818348083355287
-0.0014303672111500027	-1.5801194312353568	0.11408385078899161
-8.292180988485018e-5	-0.6116943091200542	0.540741798159004
