score	estimate	std.error	statistic	p.value
EDS	-0.06784928791362024	0.006414966112009833	-10.576718057262317	1.9955650402436895e-26
LOEUF	0.5912183346116329	0.020124493713263494	29.378047618757105	6.967563056274097e-189
RVIS	0.9927144099105473	0.04462210476802143	22.24714443819735	1.4976306571091784e-109
pLI	-0.6035945860701529	0.01680988771552766	-35.90711587636599	3.70972767293423e-280
s_het	-0.14883211323794432	0.004193163571451664	-35.49399175630512	7.041229390242704e-274
