name	mvalue	se
SuShiE	1	0
MESuSiE	1	0
XMAP	0.25451851851851853	0.003749102589113143
XMAP-IND	0.261037037037037	0.0037801723656083835
SuSiEx	0.9994814814814815	1.9593801906834916e-4
