139	22	KIAA1644
13	22	RAC2
212	22	C1QTNF6
284	22	KCTD17
28	22	SULT4A1
34	22	NCF4
363	22	RIBC2
422	22	PRR5-ARHGAP8
468	22	RFPL3S
484	22	TST
68	22	KIAA0930
102	2	NOL10
115	2	NRXN1
11	2	GPR75-ASB3
124	2	AC007377.1
12	2	C2orf61
134	2	RTN4
138	2	HJURP
169	2	LRRFIP1
178	2	REG1A
193	2	UGT1A8
216	2	COL4A3
239	2	MYT1L
254	2	TACR1
272	2	STRN
278	2	RRM2
309	2	CAMKMT
310	2	CYP1B1
333	2	ERBB4
334	2	TTC7A
342	2	WDR43
366	2	FSHR
390	2	C2orf71
403	2	ZNF385B
433	2	SPP2
440	2	NCK2
458	2	ARHGAP25
459	2	ARHGAP15
480	2	LPIN1
50	2	TOGARAM2
59	2	IL18RAP
77	2	GCFC2
94	2	ETAA1
111	3	LSM3
148	3	PHLDB2
188	3	CCDC174
192	3	KCNMB2
242	3	EPHB1
312	3	ATXN7
350	3	TRNT1
354	3	CRBN
358	3	CPNE4
388	3	VHL
405	3	UMPS
448	3	RBMS3
45	3	TATDN2
464	3	SYN2
49	3	LEKR1
89	3	TBC1D5
162	4	CAMK2D
204	4	PGM2
211	4	EVC
219	4	CD38
292	4	ANAPC4
328	4	TADA2B
364	4	EVC2
367	4	ARHGAP24
36	4	SORBS2
394	4	UNC5C
400	4	SNX25
445	4	STOX2
462	4	SORCS2
463	4	FGFBP2
71	4	RP11-717K11.2
73	4	RELL1
74	4	HTRA3
8	4	INPP4B
109	5	SPDL1
146	5	ZNF354A
150	5	LCP2
163	5	ATOX1
164	5	ADAMTS16
198	5	TTC33
205	5	HTR4
241	5	FAT2
261	5	AGGF1
270	5	F2R
27	5	SV2C
287	5	MOCS2
33	5	CCT5
347	5	C5orf58
38	5	C5orf49
396	5	ADCY2
429	5	PDZD2
434	5	CDH12
438	5	MED10
475	5	COMMD10
85	5	RANBP17
112	6	HLA-DRB5
113	6	ATXN1
123	6	PFDN6
129	6	RCAN2
135	6	EHMT2
142	6	SUPT3H
149	6	ITPR3
160	6	DDAH2
161	6	ABHD16A
177	6	RIOK1
181	6	STK38
191	6	QRSL1
196	6	TIAM2
214	6	LRFN2
231	6	PACRG
244	6	UNC5CL
246	6	GLP1R
247	6	CFB
257	6	SASH1
266	6	HIST1H3A
275	6	RPS18
276	6	XXbac-BPG32J3.19
30	6	CAGE1
315	6	HLA-E
31	6	CDYL
321	6	RIPK1
