0	1	2	mean_p	var_p	n_snps	l2_diff	l2_diff_lower	diff_l2	diff_l2_lower
37	7	NPVF	6.034679770221026e-107	1.1875294874966758e-28	601	24.241875115190865	16.266967612396137	78.56021083556486	55.550457813286314
38	5	C5orf49	2.284028894106132e-88	2.5823886862367054e-26	597	24.674572965072272	16.69603271629544	79.95287111812603	56.53521734297158
39	7	PHTF2	1.0159650925523132e-43	2.383332453265671e-18	604	22.46985008707695	15.236713243270323	77.61947064535018	54.88525404544787
40	11	USP47	2.3364853184524492e-117	4.350901841142122e-68	870	27.099642923955017	18.174096315754674	97.08584939401067	68.65006246377398
41	12	TMEM132B	5.477705931061681e-61	9.715017850023625e-32	789	24.224963333237085	16.22226070927851	81.15355005059445	57.38422555815154
42	6	RP11-514O12.4	4.539244100366873e-64	2.6778207458280067e-25	711	28.098361838024516	18.919677112632613	87.00127184165132	61.51918929109876
43	14	KLHL33	4.434246516507543e-46	2.3493171716523177e-29	620	15.95996271551072	10.508794064954792	65.2676547186285	46.15120124369952
44	13	USPL1	7.761208231687286e-62	4.30172027467527e-42	592	17.91993977784636	11.87505704587933	65.15986794442746	46.07498448473885
45	3	TATDN2	7.373376687102085e-43	6.393865864389768e-27	582	32.865256912704496	22.375284309532844	88.68150034942089	62.707290262882346
46	11	OR56A3	1.924045559608345e-43	3.5015349718335093e-25	688	19.45906989929088	13.199483760211734	83.19151926221568	58.82528740753647
47	11	SCN3B	1.0983792912982629e-62	9.200505126353814e-45	624	28.321465433595407	19.087233290792767	85.45461827880749	60.42554006866371
48	6	ATG5	1.256060703374874e-59	4.011757083027964e-11	681	20.371430321896042	13.677236766643027	79.77043322769022	56.40621427350235
49	3	LEKR1	2.402231840822335e-81	2.3713339922908958e-30	540	35.40028063336838	24.271845537497576	95.19852372275861	67.31552168331969
50	2	TOGARAM2	7.262281616134719e-56	9.111955034465681e-11	664	22.80540776923118	15.531385636349569	88.56905169135612	62.62777705423146
51	6	GPLD1	3.3158344911722625e-79	4.962531625120076e-37	597	23.163574352135726	15.607138128719704	82.17442778506094	58.10609512695318
52	8	FGL1	1.887732014082532e-70	4.576725485593465e-53	847	46.1139208982559	31.58843149826704	117.44179626254454	83.04389053198571
